                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                                La Rochelle Winery         0         0         0         0         1         0         0         0         0         0         0         0
          Mt. Lassen Park & Shingletown Campground         0         0         0         0         0         0         0         0         0         2         0         0
                                    The Rose Hotel         0         0         0         0         0         0         0         0         2         0         0         0
              Beachcomber Motel & Spa on the Beach         0         0         0         0         1         0         0         0         0         0         0         0
                                      Adelaide Inn         0         0         0         0         0         0         0         0         0         1         0         0
            Signature Flight Support Van Nuys East         0         0         0         0         0         4         0         0         0         0         0         0
     Inn at Occidental, a Select Registry Property         0         0         0         0         0         0         0         0         0         1         0         0
                                Amizetta Vineyards         0         0         0         0         0         0         0         0         0         1         0         0
                                 The Bristol Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                                     Seal Cove Inn         0         0         0         0         1         0         0         0         0         0         0         0
                              Feather Falls Casino         0         0         0         0         0         0         2         0         0         0         0         0
                           THE SPRING Resort & Spa         0         0         0         0         1         0         0         0         0         0         0         0
                             Tablas Creek Vineyard         0         0         0         0         1         0         0         0         0         0         0         0
                         Creekside Bed & Breakfast         0         0         0         0         2         0         0         0         0         0         0         0
                                  Wellspring Ranch         0         0         0         0         0         0         0         0         1         0         0         0
                                  The Canary Hotel         0         0         0         0         1         0         0         0         0         0         0         0
                        Shade Hotel, Redondo Beach         0         0         0         0         0         0         0         0         1         0         0         0
                                   Haven Gastropub         0         0         0         0         2         0         0         0         0         0         0         0
                                 The Cliffs Resort         0         0         0         0         2         0         0         0         0         0         0         0
                      Convoy Street Parking Garage         0         0         0         0         1         0         0         0         0         0         0         0
                La Quinta Inn & Suites Morgan Hill         0         0         0         0         0         0         0         0         4         0         0         0
                                Tomales Bay Resort         0         0         0         0         3         0         0         0         0         0         0         0
                                     Denner Winery         0         0         0         0         4         0         0         0         0         0         0         0
                                Priest Ranch Wines         0         0         0         0         0         0         0         0         2         0         0         0
                           Fairwinds Estate Winery         0         0         0         0         0         0         3         0         0         0         0         0
                           Papapietro Perry Winery         0         0         0         0         0         0         0         0         1         0         0         0
                               Creekside Inn Hotel         0         0         0         2         0         0         0         0         0         0         0         0
                      Black Stallion Estate Winery         0         0         0         0         0         0         0         0         2         0         0         0
                                   Sea Ranch Lodge         0         0         0         0         0         0         0         0         0         2         0         0
                                         Aloha Inn         0         0         0         0         1         0         0         0         0         0         0         0
                                 Tradewinds Carmel         0         0         0         0         0         0         0         0         1         0         0         0
Lake Arrowhead Resort & Spa-Autograph Collection by Marriott         0         0         0         0         0         0         0         0         2         0         0         0
               Paradise Point, A Destination Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                        The Players Casino Ventura         0         0         0         0         2         0         0         0         0         0         0         0
                                 Martin Ray Winery         0         0         0         0         0         0         0         0         2         0         0         0
                               Mending Wall Winery         0         0         0         0         0         0         0         0         0         0         1         0
                      The Ritz-Carlton, Lake Tahoe         0         0         0         0         0         0         0         0         0         4         0         0
                       Lake Elsinore Valley Center         0         0         0         0         0         0         0         0         2         0         0         0
                                    Corison Winery         0         0         0         0         1         0         0         0         0         0         0         0
                                Silver Oak Cellars         0         0         0         0         0         0         0         0         2         0         0         0
                         The Ranch at Laguna Beach         0         0         0         0         1         0         0         0         0         0         0         0
                                    Agate Cove Inn         0         0         0         0         1         0         0         0         0         0         0         0
                        Lakehouse Hotel and Resort         0         0         0         0         0         0         0         0         2         0         0         0
                                    ForFriends Inn         0         0         0         0         0         0         0         0         2         0         0         0
                            Hyatt Carmel Highlands         0         0         0         0         0         0         0         0         0         2         0         0
                  Hampton Inn & Suites Palm Desert         0         0         0         0         2         0         0         0         0         0         0         0
                        Hilton Los Angeles Airport         0         0         0         0         0         0         0         0         0         0         2         0
             Omni Rancho Las Palmas Resort and Spa         0         0         0         0         0         0         0         0         2         0         0         0
                   Estancia La Jolla Hotel and Spa         0         0         0         0         4         0         0         0         0         0         0         0
   The Groveland Hotel, a Select Registry Property         0         0         0         0         0         0         0         0         0         1         0         0
    Four Seasons Resort The Biltmore Santa Barbara         0         0         0         0         0         0         0         0         4         0         0         0
                                 Lagunitas Brewing         0         0         0         0         0         0         0         0         3         0         0         0
                             Sierra Nevada Brewing         0         0         0         0         0         0         0         0         2         0         0         0
                          Best Western Orchard Inn         0         0         0         0         0         0         0         0         0         2         0         0
              Spottswoode Estate Vineyard & Winery         0         0         0         0         1         0         0         0         0         0         0         0
